gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
Solyc01g007160.3	Solyc01g007160.3.1	Solyc01g007160.3.1	101260855	EntrezGene	DEPENDENT	-	-	-
Solyc01g007180.3	Solyc01g007180.3.1	Solyc01g007180.3.1	101262944	EntrezGene	DEPENDENT	-	-	-
Solyc01g007200.2	Solyc01g007200.2.1	Solyc01g007200.2.1	101262337	EntrezGene	DEPENDENT	-	-	-
Solyc01g007220.3	Solyc01g007220.3.1	Solyc01g007220.3.1.1	101262036	EntrezGene	DEPENDENT	-	-	-
Solyc01g007230.3	Solyc01g007230.3.1	Solyc01g007230.3.1.1	101261735	EntrezGene	DEPENDENT	-	-	-
Solyc01g007250.3	Solyc01g007250.3.1	Solyc01g007250.3.1	101261441	EntrezGene	DEPENDENT	-	-	-
Solyc01g007260.3	Solyc01g007260.3.1	Solyc01g007260.3.1	101261145	EntrezGene	DEPENDENT	-	-	-
Solyc01g007740.3	Solyc01g007740.3.1	Solyc01g007740.3.1	101256114	EntrezGene	DEPENDENT	-	-	-
Solyc01g007750.3	Solyc01g007750.3.1	Solyc01g007750.3.1	101255820	EntrezGene	DEPENDENT	-	-	-
Solyc01g007760.3	Solyc01g007760.3.1	Solyc01g007760.3.1	101259362	EntrezGene	DEPENDENT	-	-	-
Solyc01g007770.2	Solyc01g007770.2.1	Solyc01g007770.2.1.1	101255523	EntrezGene	DEPENDENT	-	-	-
Solyc01g007800.3	Solyc01g007800.3.1	Solyc01g007800.3.1.1	101254625	EntrezGene	DEPENDENT	-	-	-
Solyc01g007810.1	Solyc01g007810.1.1	Solyc01g007810.1.1.1	104645444	EntrezGene	DEPENDENT	-	-	-
Solyc01g007840.3	Solyc01g007840.3.1	Solyc01g007840.3.1.1	101254325	EntrezGene	DEPENDENT	-	-	-
Solyc01g007850.2	Solyc01g007850.2.1	Solyc01g007850.2.1.1	101259070	EntrezGene	DEPENDENT	-	-	-
Solyc01g007860.3	Solyc01g007860.3.1	Solyc01g007860.3.1	101253818	EntrezGene	DEPENDENT	-	-	-
Solyc01g007870.3	Solyc01g007870.3.1	Solyc01g007870.3.1.1	101253518	EntrezGene	DEPENDENT	-	-	-
Solyc01g007900.3	Solyc01g007900.3.1	Solyc01g007900.3.1	101252618	EntrezGene	DEPENDENT	-	-	-
Solyc01g007910.3	Solyc01g007910.3.1	Solyc01g007910.3.1	543860	EntrezGene	DEPENDENT	-	-	-
Solyc01g007930.3	Solyc01g007930.3.1	Solyc01g007930.3.1	101252015	EntrezGene	DEPENDENT	-	-	-
Solyc01g007920.2	Solyc01g007920.2.1	Solyc01g007920.2.1	101252316	EntrezGene	DEPENDENT	-	-	-
Solyc01g008020.3	Solyc01g008020.3.1	Solyc01g008020.3.1	101249478	EntrezGene	DEPENDENT	-	-	-
Solyc01g008100.3	Solyc01g008100.3.1	Solyc01g008100.3.1	101247054	EntrezGene	DEPENDENT	-	-	-
Solyc01g008110.3	Solyc01g008110.3.1	Solyc01g008110.3.1	100736446	EntrezGene	DEPENDENT	-	-	-
Solyc01g008170.3	Solyc01g008170.3.1	Solyc01g008170.3.1	101257295	EntrezGene	DEPENDENT	-	-	-
Solyc01g008180.3	Solyc01g008180.3.1	Solyc01g008180.3.1	101245575	EntrezGene	DEPENDENT	-	-	-
Solyc01g008220.3	Solyc01g008220.3.1	Solyc01g008220.3.1	101257001	EntrezGene	DEPENDENT	-	-	-
Solyc01g008230.3	Solyc01g008230.3.1	Solyc01g008230.3.1.1	100736520	EntrezGene	DEPENDENT	-	-	-
Solyc01g008260.3	Solyc01g008260.3.1	Solyc01g008260.3.1	101244405	EntrezGene	DEPENDENT	-	-	-
Solyc01g008270.3	Solyc01g008270.3.1	Solyc01g008270.3.1	101244107	EntrezGene	DEPENDENT	-	-	-
Solyc01g008290.3	Solyc01g008290.3.1	Solyc01g008290.3.1	101268785	EntrezGene	DEPENDENT	-	-	-
Solyc01g008300.2	Solyc01g008300.2.1	Solyc01g008300.2.1	104645412	EntrezGene	DEPENDENT	-	-	-
Solyc01g008340.3	Solyc01g008340.3.1	Solyc01g008340.3.1	100037517	EntrezGene	DEPENDENT	-	-	-
Solyc01g008360.3	Solyc01g008360.3.1	Solyc01g008360.3.1	101267636	EntrezGene	DEPENDENT	-	-	-
Solyc01g008430.2	Solyc01g008430.2.1	Solyc01g008430.2.1	104646330	EntrezGene	DEPENDENT	-	-	-
Solyc01g008440.3	Solyc01g008440.3.1	Solyc01g008440.3.1	101265949	EntrezGene	DEPENDENT	-	-	-
Solyc01g008460.3	Solyc01g008460.3.1	Solyc01g008460.3.1	101265666	EntrezGene	DEPENDENT	-	-	-
Solyc01g008470.3	Solyc01g008470.3.1	Solyc01g008470.3.1	101265358	EntrezGene	DEPENDENT	-	-	-
Solyc01g008510.3	Solyc01g008510.3.1	Solyc01g008510.3.1.1	101255525	EntrezGene	DEPENDENT	-	-	-
Solyc01g008520.3	Solyc01g008520.3.1	Solyc01g008520.3.1	101255234	EntrezGene	DEPENDENT	-	-	-
Solyc01g008560.3	Solyc01g008560.3.1	Solyc01g008560.3.1	101263635	EntrezGene	DEPENDENT	-	-	-
Solyc01g008600.3	Solyc01g008600.3.1	Solyc01g008600.3.1	101263345	EntrezGene	DEPENDENT	-	-	-
Solyc01g008610.3	Solyc01g008610.3.1	Solyc01g008610.3.1	101263050	EntrezGene	DEPENDENT	-	-	-
Solyc01g008620.3	Solyc01g008620.3.1	Solyc01g008620.3.1	543986	EntrezGene	DEPENDENT	-	-	-
Solyc01g008640.3	Solyc01g008640.3.1	Solyc01g008640.3.1	101262745	EntrezGene	DEPENDENT	-	-	-
Solyc01g008650.3	Solyc01g008650.3.1	Solyc01g008650.3.1	101262448	EntrezGene	DEPENDENT	-	-	-
Solyc01g008700.3	Solyc01g008700.3.1	Solyc01g008700.3.1	101261259	EntrezGene	DEPENDENT	-	-	-
Solyc01g008730.3	Solyc01g008730.3.1	Solyc01g008730.3.1	101260964	EntrezGene	DEPENDENT	-	-	-
Solyc01g008740.2	Solyc01g008740.2.1	Solyc01g008740.2.1	101253712	EntrezGene	DEPENDENT	-	-	-
Solyc01g008770.3	Solyc01g008770.3.1	Solyc01g008770.3.1	101260369	EntrezGene	DEPENDENT	-	-	-
Solyc01g008780.3	Solyc01g008780.3.1	Solyc01g008780.3.1	101259869	EntrezGene	DEPENDENT	-	-	-
Solyc01g008830.2	Solyc01g008830.2.1	Solyc01g008830.2.1	101253411	EntrezGene	DEPENDENT	-	-	-
Solyc01g008900.3	Solyc01g008900.3.1	Solyc01g008900.3.1	101256906	EntrezGene	DEPENDENT	-	-	-
Solyc01g008910.2	Solyc01g008910.2.1	Solyc01g008910.2.1.1	101256615	EntrezGene	DEPENDENT	-	-	-
Solyc01g008950.3	Solyc01g008950.3.1	Solyc01g008950.3.1	101256315	EntrezGene	DEPENDENT	-	-	-
Solyc01g008960.3	Solyc01g008960.3.1	Solyc01g008960.3.1	101256023	EntrezGene	DEPENDENT	-	-	-
Solyc01g009000.3	Solyc01g009000.3.1	Solyc01g009000.3.1.1	101254413	EntrezGene	DEPENDENT	-	-	-
Solyc01g009010.3	Solyc01g009010.3.1	Solyc01g009010.3.1	543658	EntrezGene	DEPENDENT	-	-	-
Solyc01g009030.3	Solyc01g009030.3.1	Solyc01g009030.3.1	101253612	EntrezGene	DEPENDENT	-	-	-
Solyc01g009040.3	Solyc01g009040.3.1	Solyc01g009040.3.1	101253308	EntrezGene	DEPENDENT	-	-	-
Solyc01g009050.3	Solyc01g009050.3.1	Solyc01g009050.3.1	101253012	EntrezGene	DEPENDENT	-	-	-
Solyc01g009060.3	Solyc01g009060.3.1	Solyc01g009060.3.1	101252710	EntrezGene	DEPENDENT	-	-	-
Solyc01g009070.3	Solyc01g009070.3.1	Solyc01g009070.3.1	100037511	EntrezGene	DEPENDENT	-	-	-
Solyc01g009080.3	Solyc01g009080.3.1	Solyc01g009080.3.1	101252420	EntrezGene	DEPENDENT	-	-	-
Solyc01g009090.3	Solyc01g009090.3.1	Solyc01g009090.3.1	101252107	EntrezGene	DEPENDENT	-	-	-
Solyc01g009100.3	Solyc01g009100.3.1	Solyc01g009100.3.1	101251804	EntrezGene	DEPENDENT	-	-	-
Solyc01g009200.3	Solyc01g009200.3.1	Solyc01g009200.3.1	101250437	EntrezGene	DEPENDENT	-	-	-
Solyc01g009220.3	Solyc01g009220.3.1	Solyc01g009220.3.1	101249849	EntrezGene	DEPENDENT	-	-	-
Solyc01g009250.3	Solyc01g009250.3.1	Solyc01g009250.3.1.1	101249571	EntrezGene	DEPENDENT	-	-	-
Solyc01g009280.3	Solyc01g009280.3.1	Solyc01g009280.3.1	101055539	EntrezGene	DEPENDENT	-	-	-
Solyc01g009290.3	Solyc01g009290.3.1	Solyc01g009290.3.1	101249197	EntrezGene	DEPENDENT	-	-	-
Solyc01g009300.3	Solyc01g009300.3.1	Solyc01g009300.3.1	101248903	EntrezGene	DEPENDENT	-	-	-
Solyc01g009310.3	Solyc01g009310.3.1	Solyc01g009310.3.1	101248602	EntrezGene	DEPENDENT	-	-	-
Solyc01g009320.2	Solyc01g009320.2.1	Solyc01g009320.2.1	101249004	EntrezGene	DEPENDENT	-	-	-
Solyc01g009330.1	Solyc01g009330.1.1	Solyc01g009330.1.1.1	101248322	EntrezGene	DEPENDENT	-	-	-
Solyc01g009370.2	Solyc01g009370.2.1	Solyc01g009370.2.1	101247849	EntrezGene	DEPENDENT	-	-	-
Solyc01g009430.3	Solyc01g009430.3.1	Solyc01g009430.3.1	101247149	EntrezGene	DEPENDENT	-	-	-
Solyc01g009420.3	Solyc01g009420.3.1	Solyc01g009420.3.1	101247451	EntrezGene	DEPENDENT	-	-	-
Solyc01g009480.3	Solyc01g009480.3.1	Solyc01g009480.3.1	101246557	EntrezGene	DEPENDENT	-	-	-
Solyc01g009560.1	Solyc01g009560.1.1	Solyc01g009560.1.1	101245388	EntrezGene	DEPENDENT	-	-	-
Solyc01g009590.3	Solyc01g009590.3.1	Solyc01g009590.3.1	544145	EntrezGene	DEPENDENT	-	-	-
Solyc01g009600.3	Solyc01g009600.3.1	Solyc01g009600.3.1	101244023	EntrezGene	DEPENDENT	-	-	-
Solyc01g009620.3	Solyc01g009620.3.1	Solyc01g009620.3.1	101268710	EntrezGene	DEPENDENT	-	-	-
Solyc01g009630.3	Solyc01g009630.3.1	Solyc01g009630.3.1	101268418	EntrezGene	DEPENDENT	-	-	-
Solyc01g009750.3	Solyc01g009750.3.1	Solyc01g009750.3.1	101267045	EntrezGene	DEPENDENT	-	-	-
Solyc01g009760.3	Solyc01g009760.3.1	Solyc01g009760.3.1	101266747	EntrezGene	DEPENDENT	-	-	-
Solyc01g009780.3	Solyc01g009780.3.1	Solyc01g009780.3.1	101266147	EntrezGene	DEPENDENT	-	-	-
Solyc01g009810.3	Solyc01g009810.3.1	Solyc01g009810.3.1	101265851	EntrezGene	DEPENDENT	-	-	-
Solyc01g009820.3	Solyc01g009820.3.1	Solyc01g009820.3.1	101265569	EntrezGene	DEPENDENT	-	-	-
Solyc01g009830.3	Solyc01g009830.3.1	Solyc01g009830.3.1	101265265	EntrezGene	DEPENDENT	-	-	-
Solyc01g009860.3	Solyc01g009860.3.1	Solyc01g009860.3.1	100147720	EntrezGene	DEPENDENT	-	-	-
Solyc01g009880.2	Solyc01g009880.2.1	Solyc01g009880.2.1.1	101243736	EntrezGene	DEPENDENT	-	-	-
Solyc01g009900.3	Solyc01g009900.3.1	Solyc01g009900.3.1.1	101263930	EntrezGene	DEPENDENT	-	-	-
Solyc01g009910.1	Solyc01g009910.1.1	Solyc01g009910.1.1.1	101268133	EntrezGene	DEPENDENT	-	-	-
Solyc01g009970.3	Solyc01g009970.3.1	Solyc01g009970.3.1	101263344	EntrezGene	DEPENDENT	-	-	-
Solyc01g009990.3	Solyc01g009990.3.1	Solyc01g009990.3.1	101263049	EntrezGene	DEPENDENT	-	-	-
Solyc01g010000.3	Solyc01g010000.3.1	Solyc01g010000.3.1	101262744	EntrezGene	DEPENDENT	-	-	-
Solyc01g010020.3	Solyc01g010020.3.1	Solyc01g010020.3.1.1	101262447	EntrezGene	DEPENDENT	-	-	-
Solyc01g010030.3	Solyc01g010030.3.1	Solyc01g010030.3.1	101266360	EntrezGene	DEPENDENT	-	-	-
Solyc01g010050.3	Solyc01g010050.3.1	Solyc01g010050.3.1.1	101262142	EntrezGene	DEPENDENT	-	-	-
Solyc01g010080.3	Solyc01g010080.3.1	Solyc01g010080.3.1	101261545	EntrezGene	DEPENDENT	-	-	-
Solyc01g010135.1	Solyc01g010135.1.1	Solyc01g010135.1.1	101261258	EntrezGene	DEPENDENT	-	-	-
Solyc01g010150.3	Solyc01g010150.3.1	Solyc01g010150.3.1	101260963	EntrezGene	DEPENDENT	-	-	-
Solyc01g010180.3	Solyc01g010180.3.1	Solyc01g010180.3.1	101260464	EntrezGene	DEPENDENT	-	-	-
Solyc01g010190.2	Solyc01g010190.2.1	Solyc01g010190.2.1.1	101260163	EntrezGene	DEPENDENT	-	-	-
Solyc01g010200.3	Solyc01g010200.3.1	Solyc01g010200.3.1	101259868	EntrezGene	DEPENDENT	-	-	-
Solyc01g010260.3	Solyc01g010260.3.1	Solyc01g010260.3.1	101264853	EntrezGene	DEPENDENT	-	-	-
Solyc01g010270.3	Solyc01g010270.3.1	Solyc01g010270.3.1	101258583	EntrezGene	DEPENDENT	-	-	-
Solyc01g010280.3	Solyc01g010280.3.1	Solyc01g010280.3.1	101258295	EntrezGene	DEPENDENT	-	-	-
Solyc01g010370.3	Solyc01g010370.3.1	Solyc01g010370.3.1	101256796	EntrezGene	DEPENDENT	-	-	-
Solyc01g010390.3	Solyc01g010390.3.1	Solyc01g010390.3.1	101256510	EntrezGene	DEPENDENT	-	-	-
Solyc01g010410.3	Solyc01g010410.3.1	Solyc01g010410.3.1.1	101256210	EntrezGene	DEPENDENT	-	-	-
Solyc01g010480.3	Solyc01g010480.3.1	Solyc01g010480.3.1	101255122	EntrezGene	DEPENDENT	-	-	-
Solyc01g010490.3	Solyc01g010490.3.1	Solyc01g010490.3.1	101254820	EntrezGene	DEPENDENT	-	-	-
Solyc01g010520.3	Solyc01g010520.3.1	Solyc01g010520.3.1	101254226	EntrezGene	DEPENDENT	-	-	-
Solyc01g010530.1	Solyc01g010530.1.1	Solyc01g010530.1.1.1	101261261	EntrezGene	DEPENDENT	-	-	-
Solyc01g010540.3	Solyc01g010540.3.1	Solyc01g010540.3.1	101253011	EntrezGene	DEPENDENT	-	-	-
Solyc01g010540.3	Solyc01g010540.3.1	Solyc01g010540.3.1	101257063	EntrezGene	DEPENDENT	-	-	-
Solyc01g010540.3	Solyc01g010540.3.1	Solyc01g010540.3.1	101253922	EntrezGene	DEPENDENT	-	-	-
Solyc01g010570.3	Solyc01g010570.3.1	Solyc01g010570.3.1	101253611	EntrezGene	DEPENDENT	-	-	-
Solyc01g010580.3	Solyc01g010580.3.1	Solyc01g010580.3.1	101253011	EntrezGene	DEPENDENT	-	-	-
Solyc01g010580.3	Solyc01g010580.3.1	Solyc01g010580.3.1	101257063	EntrezGene	DEPENDENT	-	-	-
Solyc01g010580.3	Solyc01g010580.3.1	Solyc01g010580.3.1	101253922	EntrezGene	DEPENDENT	-	-	-
Solyc01g010590.2	Solyc01g010590.2.1	Solyc01g010590.2.1	101253307	EntrezGene	DEPENDENT	-	-	-
Solyc01g010640.3	Solyc01g010640.3.1	Solyc01g010640.3.1.1	101252419	EntrezGene	DEPENDENT	-	-	-
Solyc01g010650.3	Solyc01g010650.3.1	Solyc01g010650.3.1	101252106	EntrezGene	DEPENDENT	-	-	-
Solyc01g010660.3	Solyc01g010660.3.1	Solyc01g010660.3.1	101251803	EntrezGene	DEPENDENT	-	-	-
Solyc01g010690.1	Solyc01g010690.1.1	Solyc01g010690.1.1	109119320	EntrezGene	DEPENDENT	-	-	-
Solyc01g010700.3	Solyc01g010700.3.1	Solyc01g010700.3.1	101251498	EntrezGene	DEPENDENT	-	-	-
Solyc01g010740.3	Solyc01g010740.3.1	Solyc01g010740.3.1	101250914	EntrezGene	DEPENDENT	-	-	-
Solyc01g010760.3	Solyc01g010760.3.1	Solyc01g010760.3.1	101250327	EntrezGene	DEPENDENT	-	-	-
Solyc01g010770.3	Solyc01g010770.3.1	Solyc01g010770.3.1	101250039	EntrezGene	DEPENDENT	-	-	-
Solyc01g010810.3	Solyc01g010810.3.1	Solyc01g010810.3.1	101249289	EntrezGene	DEPENDENT	-	-	-
Solyc01g010820.3	Solyc01g010820.3.1	Solyc01g010820.3.1	101248999	EntrezGene	DEPENDENT	-	-	-
Solyc01g010860.3	Solyc01g010860.3.1	Solyc01g010860.3.1	101248229	EntrezGene	DEPENDENT	-	-	-
Solyc01g010880.3	Solyc01g010880.3.1	Solyc01g010880.3.1	101247951	EntrezGene	DEPENDENT	-	-	-
Solyc01g010910.2	Solyc01g010910.2.1	Solyc01g010910.2.1	101246748	EntrezGene	DEPENDENT	-	-	-
Solyc01g010940.3	Solyc01g010940.3.1	Solyc01g010940.3.1	101246078	EntrezGene	DEPENDENT	-	-	-
Solyc01g010950.3	Solyc01g010950.3.1	Solyc01g010950.3.1	101245786	EntrezGene	DEPENDENT	-	-	-
Solyc01g010970.3	Solyc01g010970.3.1	Solyc01g010970.3.1	101055594	EntrezGene	DEPENDENT	-	-	-
